Offset(P)            #Ptr   #Hnd Access Name
0x000000000e5f3290      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\PeerDistSvc.dll
0x000000000e5f3560      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000000e5f3838      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000000e5f3e20      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\httpapi.dll
0x0000000010f0a130      3      0 R--rwd \Device\HarddiskVolume1\Windows\System32\wmploc.DLL
0x0000000010f0a290      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\PeerDistSvc.dll
0x0000000010f0a560      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x0000000010f0a838      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x0000000010f0ae20      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\httpapi.dll
0x000000001217e6c0      2      0 R--r-d \Device\HarddiskVolume1\Windows\System32\framedyn.dll
0x000000001217ebd0      9      0 R--rw- \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\program\types\oovbaapi.rdb
0x0000000013bbb038      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\clb.dll
0x00000000184d1668      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc
0x00000000184d1d70      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\cdd.dll
0x000000001b6ce038      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\dfscli.dll
0x000000001b6ce9f8      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\actxprxy.dll
0x000000001ba9e038      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\msinfo32.exe
0x000000001ba9eba0      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\DHCPQEC.DLL
0x000000001bec7440     10      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\shlwapi.dll.mui
0x000000001bec7d20      3      1 R--rwd \Device\HarddiskVolume1\Windows\System32\wlms
0x000000001bf44c18      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\srvsvc.dll
0x000000001bf86f80      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\browser.dll
0x000000001c1c3460      1      1 ------ \Device\NamedPipe\srvsvc
0x000000001c2425d0      1      1 ------ \Device\NamedPipe\srvsvc
0x000000001d602cc0      4      0 R--rw- \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\share\config\images_tango.zip
0x000000001d606258      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\calc.exe
0x000000001d606798      8      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\times.ttf
0x000000001d607540      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\TPVMMon.dll
0x000000001d607a00      9      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001d607c30      2      0 R--rwd \Device\HarddiskVolume1\Windows\System32\PlaySndSrv.dll
0x000000001d6194f8      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\inetcomm.dll
0x000000001d619d30      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\d3d10_1.dll
0x000000001d635038      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001d635a68      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc
0x000000001d64c290      9      0 R--r-- \Device\HarddiskVolume1\Windows\System32\catroot2\edb.log
0x000000001d64c520      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\KernelBase.dll.mui
0x000000001d67c8b8      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\perfos.dll
0x000000001d67cba8      1      1 -WD--- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows Defender\IMpService925A3ACA-C353-458A-AC8D-A7E5EB378092.lock
0x000000001d689b40     10      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\sysmain.dll.mui
0x000000001d69ee70      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001d6ae2a8      4      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4Operational.evtx
0x000000001d6ae498      7      0 R--rw- \Device\HarddiskVolume1\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\ntexe.cat
0x000000001d6ba2d0      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\bitsperf.dll
0x000000001d6ba468      9      1 RW-rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.wid
0x000000001d6bac10      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\msiltcfg.dll
0x000000001d6cbeb8      8      0 R--r-- \Device\HarddiskVolume1\Windows\winsxs\Manifests\x86_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_en-us_581cd2bf5825dde9.manifest
0x000000001d6d4038      2      1 ------ \Device\Afd\Endpoint
0x000000001d6eed38      2      1 ------ \Device\Afd\Endpoint
0x000000001d6f0990      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-3a0-0
0x000000001d6f3868      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\imageres.dll
0x000000001d6f79c0      7      0 R--r-d \Device\HarddiskVolume1\Program Files\AVAST Software\Avast\snxhk.dll
0x000000001d6f95a0     13      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001d6f9658      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\spoolsv.exe
0x000000001d6f9710     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Kernel-StoreMgr%4Operational.evtx
0x000000001d6fa860     10      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001d6faae0      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\ReAgent.dll
0x000000001d6fb1f8      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001d6fbac0     10      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001d6fc5a0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc
0x000000001d6fc658      2      1 R--rwd \Device\HarddiskVolume1\Users\Public\Documents
0x000000001d6fcaa0      4      0 R--r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Caches\{6AF0698E-D558-4F6E-9B3C-3716689AF493}.2.ver0x0000000000000003.db
0x000000001d6fce20      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001d6fdc40      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\StructuredQuery.dll
0x000000001d6ff720      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001d70e038      2      1 ------ \Device\Afd\Endpoint
0x000000001d70f038      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\WFSR.dll
0x000000001d70f730      1      1 RW-rw- \Device\HarddiskVolume1\Users\John Doe\AppData\Roaming\Microsoft\Windows\Cookies\index.dat
0x000000001d7104b8      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5
0x000000001d710a68      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\mblctr.exe
0x000000001d711578      8      0 R--r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows DVD Maker.lnk
0x000000001d713400      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\unregmp2.exe
0x000000001d715b40      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\BFE.DLL
0x000000001d715bf8      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mspatcha.dll
0x000000001d716798      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001d718dd8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\nlasvc.dll
0x000000001d71a178      9      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001d71af80      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\miguiresource.dll
0x000000001d720588      1      1 ------ \Device\Afd\Endpoint
0x000000001d720728      1      1 RW-rw- \Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\AppData\Local\Microsoft\Windows\WindowsUpdate.log
0x000000001d720d00      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\cabinet.dll
0x000000001d721038      8      0 R--r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Sticky Notes.lnk
0x000000001d722508      3      0 R--rwd \Device\HarddiskVolume1\Windows\System32\inetcpl.cpl
0x000000001d722e08      8      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\System Information.lnk
0x000000001d723038     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001d729390      3      1 R--rwd \Device\HarddiskVolume1\Windows\System32\config\systemprofile\AppData\Roaming\Microsoft\SystemCertificates\My
0x000000001d729ba0      7      0 R--r-d \Device\HarddiskVolume1\Program Files\Windows Defender\MpRTP.dll
0x000000001d72b038      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\MPSSVC.dll
0x000000001d72b540      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\Display.dll
0x000000001d72bd28      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001d72c268      8      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Desktop.ini
0x000000001d72cf80      7      0 R--r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Caches\{DDF571F2-BE98-426D-8288-1A9A39C3FDA2}.2.ver0x0000000000000001.db
0x000000001d72d6c0      3      1 R--rwd \Device\HarddiskVolume1\Users\John Doe\AppData\Roaming\Microsoft\SystemCertificates\My
0x000000001d72d948     13      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001d72dcd0      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\wups.dll
0x000000001d72f968      1      0 RW-rwd \Device\HarddiskVolume1\$PrepareToShrinkFileSize
0x000000001d72fa20      8      0 R--r-- \Device\HarddiskVolume1\Users\John Doe\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Run.lnk
0x000000001d7301d0      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\AuthFWGP.dll
0x000000001d7302a8      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001d732128      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\IKEEXT.DLL
0x000000001d732828      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\rstrui.exe
0x000000001d733710      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\winbio.dll
0x000000001d7337c8      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\cryptnet.dll
0x000000001d734b58      2      1 ------ \Device\NamedPipe\keysvc
0x000000001d734c10      1      1 RW-rw- \Device\HarddiskVolume1\Users\John Doe\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat
0x000000001d734d70      1      1 ------ \Device\NamedPipe\keysvc
0x000000001d735938      1      1 ------ \Device\NamedPipe\keysvc
0x000000001d735bb0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc
0x000000001d736b40      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\aeevts.dll
0x000000001d736f80      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wiarpc.dll
